date, pm25, pm10, o3, no2, so2, co
2019/8/7, 31, 33, 90, 7, 1, 5
2019/8/8, 65, 37, 72, 7, 1, 5
2019/8/9, 83, 29, 41, 4, 32, 5
2019/8/10, 48, 19, 29, 2, , 2
2019/8/11, 35, 17, 30, 4, 1, 2
2019/8/12, 34, 17, 29, 3, , 1
2019/8/13, 35, 19, 36, 4, 4, 4
2019/8/14, 35, 17, 32, 6, 3, 4
2019/8/15, 32, 18, 28, 4, , 3
2019/8/16, 44, 14, 19, 5, 8, 5
2019/8/17, 23, 11, 17, 4, , 3
2019/8/18, 18, 17, 43, 8, , 4
2019/8/19, 42, 15, 39, 7, 2, 4
2019/8/20, 34, 15, 40, 7, , 4
2019/8/21, 40, 18, 37, 4, , 5
2019/8/22, 47, 21, 60, 7, 4, 7
2019/8/23, 45, 48, 60, 9, 1, 7
2019/8/24, 114, 35, 36, 7, 4, 6
2019/8/25, 80, 13, 31, 4, 3, 5
2019/8/26, 25, 12, 18, 3, , 6
2019/8/27, 24, 27, 104, 12, , 8
2019/8/28, 59, 10, 14, 5, 1, 6
2019/8/29, 24, 7, 13, 7, , 7
2019/8/30, 6, 7, 16, 7, , 7
2019/8/31, 10, 15, 32, 9, 6, 8
2019/9/1, 32, 9, 8, 7, , 7
2019/9/2, 8, 15, 23, 8, , 5
2019/9/3, 32, 10, 19, 7, , 3
2019/9/4, 15, 9, 22, 6, , 3
2019/9/5, 13, 13, 24, 9, , 
2019/9/6, 22, 20, 71, 9, 1, 
2019/9/7, 41, 24, 55, 5, 1, 5
2019/9/8, 55, 14, 38, 3, , 4
2019/9/9, 42, 9, 25, 5, , 3
2019/9/10, 20, 9, 31, 6, 1, 3
2019/9/11, 23, 17, 34, 8, 1, 3
2019/9/12, 40, 15, 28, 4, 1, 3
2019/9/13, 30, 16, 35, 3, , 2
2019/9/14, 38, 19, 41, 6, , 3
2019/9/15, 46, 21, 56, 6, , 3
2019/9/16, 55, 26, 61, 7, , 4
2019/9/17, 59, 36, 102, 10, 1, 5
2019/9/18, 88, 40, 114, 9, 1, 5
2019/9/19, 82, 43, 110, 12, 2, 5
2019/9/20, 62, 43, 113, 8, 3, 6
2019/9/21, 73, 29, 91, 12, 2, 5
2019/9/22, 31, 36, 104, 10, 2, 4
2019/9/23, 48, 28, 89, 11, 1, 3
2019/9/24, 62, 32, 69, 10, 1, 4
2019/9/25, 68, 30, 99, 8, 1, 3
2019/9/26, 61, 39, 80, 11, 1, 5
2019/9/27, 81, 49, 138, 10, 2, 6
2019/9/28, 89, 52, 117, 11, 2, 8
2019/9/29, 113, 49, , 18, 4, 8
2019/9/30, 102, 39, 95, 7, 3, 8
2019/4/1, 59, 14, 41, 9, 2, 3
2019/4/2, 36, 16, 34, 12, , 4
2019/4/3, 46, 17, 33, 8, , 4
2019/4/4, 37, 37, 59, 17, , 8
2019/4/5, 87, 30, 32, 9, 1, 6
2019/4/6, 64, 18, 25, 5, , 4
2019/4/7, 40, 12, 13, 4, , 3
2019/4/8, 22, 12, 13, 4, , 3
2019/4/9, 15, 14, 13, 4, , 
2019/4/10, 24, 20, 13, 3, , 5
2019/4/11, 47, 15, 28, 11, , 5
2019/4/12, 22, 22, 32, 9, , 4
2019/4/13, 44, 17, 28, 15, , 4
2019/4/14, 40, 38, 57, 13, , 4
2019/4/15, 74, 18, 39, 13, , 4
2019/4/16, 36, 22, 41, 16, 1, 3
2019/4/17, 53, 19, 35, 12, , 2
2019/4/18, 38, 11, 29, 9, , 2
2019/4/19, 18, 14, 29, 13, , 2
2019/4/20, 13, 16, 17, 10, , 1
2019/4/21, 27, 14, 12, 6, , 1
2019/4/22, 17, 14, 13, 5, 2, 1
2019/4/23, 32, 16, 16, 4, 1, 1
2019/4/24, 27, 20, 16, 5, , 2
